ID,Type,Epoch,Loss,Accuracy
1,Training,0,7.614334583282471,0.0
2,Training,0,7.612305548883254,0.0
3,Training,0,7.610503673553467,0.0
4,Training,0,7.612004311530145,0.0
5,Training,0,7.610312844110915,0.0006611570247933885
6,Training,0,7.611361396233767,0.0010596026490066225
7,Training,0,7.610323908579284,0.0013259668508287293
8,Training,0,7.609842006629112,0.0013270142180094788
9,Training,0,7.609302417865927,0.001161825726141079
10,Training,0,7.608688639538754,0.0011808118081180813
11,Training,0,7.609077529653758,0.0011960132890365448
12,Training,0,7.607964955067707,0.0012084592145015106
13,Training,0,7.607075877467021,0.0012188365650969528
14,Training,0,7.606287880626786,0.0015345268542199487
15,Training,0,7.605156538322249,0.0017102137767220902
16,Training,0,7.605260213568576,0.0017738359201773836
17,Training,0,7.604061124726294,0.0016632016632016633
18,Training,0,7.603909134164948,0.0016438356164383563
19,Training,0,7.603732649367751,0.0017005545286506473
20,Training,0,7.6030351276364305,0.0017513134851138358
21,Training,0,7.602486910320161,0.0017304492512479205
22,Training,0,7.601399602300581,0.0017115689381933443
23,Training,0,7.601388868513699,0.001694402420574887
24,Validation,0,7.616285800933838,0.0
25,Validation,0,7.58811261437156,0.0
26,Validation,0,7.597405955905006,0.0019047619047619048
27,Validation,0,7.58191942399548,0.0025806451612903226
28,Validation,0,7.588702236733785,0.001951219512195122
29,Validation,0,7.588514000761743,0.001568627450980392
30,Validation,0,7.586226682193944,0.0013114754098360656
31,Validation,0,7.582362651824951,0.0016901408450704224
32,Validation,0,7.583763104897958,0.0014814814814814814
33,Validation,0,7.5805365698678155,0.0017582417582417582
34,Validation,0,7.581249742224665,0.0015841584158415843
35,Validation,0,7.579213718036273,0.0014414414414414415
36,Validation,0,7.579567597917289,0.001322314049586777
37,Validation,0,7.579349022785216,0.0012213740458015267
38,Validation,0,7.578946688496474,0.0014184397163120568
39,Validation,0,7.578438619904171,0.001589403973509934
40,Validation,0,7.578484529293842,0.0014906832298136647
41,Training,1,7.521623134613037,0.0
42,Training,1,7.506258610756166,0.0012903225806451613
43,Training,1,7.503538053543841,0.0013114754098360656
44,Training,1,7.50231426364773,0.0017582417582417582
45,Training,1,7.499535698536014,0.002644628099173554
46,Training,1,7.496670631383428,0.003178807947019867
47,Training,1,7.490418436777526,0.0037569060773480667
48,Training,1,7.488374682964307,0.003601895734597157
49,Training,1,7.487421346403257,0.0038174273858921173
50,Training,1,7.487060722829671,0.003837638376383765
51,Training,1,7.485427015247535,0.0035880398671096357
52,Training,1,7.482499801140177,0.003987915407854987
53,Training,1,7.482976307168892,0.00398891966759003
54,Training,1,7.481312117613185,0.003785166240409209
55,Training,1,7.479275095207957,0.003895486935866985
56,Training,1,7.476579720059414,0.004079822616407984
57,Training,1,7.473269490343122,0.004490644490644493
58,Training,1,7.470178162748333,0.004853228962818006
59,Training,1,7.469649740596355,0.004731977818853977
60,Training,1,7.467719856369099,0.004973730297723296
61,Training,1,7.466491780939594,0.004858569051580702
62,Training,1,7.464536631352928,0.004944532488114108
63,Training,1,7.4618094973773355,0.004962178517397885
64,Validation,1,7.425241470336914,0.0
65,Validation,1,7.417118072509766,0.007272727272727273
66,Validation,1,7.394669124058315,0.005714285714285714
67,Validation,1,7.399486587893579,0.005161290322580645
68,Validation,1,7.398422113279017,0.006829268292682926
69,Validation,1,7.394953550076952,0.009411764705882352
70,Validation,1,7.402516716816386,0.009180327868852457
71,Validation,1,7.402303809850988,0.008450704225352112
72,Validation,1,7.39455904784026,0.009876543209876545
73,Validation,1,7.395719554398086,0.009670329670329672
74,Validation,1,7.395433992442518,0.009108910891089112
75,Validation,1,7.396606741724788,0.00864864864864865
76,Validation,1,7.392544998610315,0.009586776859504135
77,Validation,1,7.392495464732629,0.009160305343511454
78,Validation,1,7.396608454115848,0.008794326241134754
79,Validation,1,7.400686355616084,0.008211920529801327
80,Validation,1,7.401177092368559,0.007950310559006215
81,Training,2,7.078336715698242,0.04
82,Training,2,7.2981800263927825,0.015483870967741934
83,Training,2,7.275649078556748,0.014426229508196721
84,Training,2,7.275039714771313,0.012747252747252748
85,Training,2,7.271430295360975,0.013223140495867773
86,Training,2,7.263092025226315,0.012980132450331132
87,Training,2,7.264017576670779,0.012375690607734812
88,Training,2,7.256621873774234,0.011753554502369675
89,Training,2,7.256891776911945,0.011950207468879676
90,Training,2,7.254795852182536,0.01210332103321034
91,Training,2,7.249222725332773,0.011428571428571436
92,Training,2,7.24553789184893,0.01172205438066466
93,Training,2,7.242863493943148,0.011855955678670368
94,Training,2,7.238249347033098,0.01217391304347827
95,Training,2,7.234057622397597,0.01197149643705464
96,Training,2,7.228325196750412,0.012062084257206217
97,Training,2,7.221929642366025,0.012141372141372151
98,Training,2,7.218607981844191,0.012289628180039149
99,Training,2,7.21348330626426,0.012199630314232912
100,Training,2,7.2068223794579716,0.012189141856392303
101,Training,2,7.201354206104247,0.012046589018302838
102,Training,2,7.195349326035489,0.011980982567353417
103,Training,2,7.187834813266587,0.012042360060514382
104,Validation,2,6.954376220703125,0.0
105,Validation,2,7.0594141700051045,0.018181818181818184
106,Validation,2,7.041361082167852,0.017142857142857144
107,Validation,2,7.03681747374996,0.016774193548387096
108,Validation,2,7.03337586798319,0.018536585365853665
109,Validation,2,7.041495444727879,0.018039215686274514
110,Validation,2,7.039130367216517,0.01770491803278689
111,Validation,2,7.034028516688817,0.01633802816901409
112,Validation,2,7.033011742580084,0.015802469135802476
113,Validation,2,7.024310347798107,0.01582417582417583
114,Validation,2,7.023942621627657,0.015049504950495056
115,Validation,2,7.02059471714604,0.014774774774774782
116,Validation,2,7.020456046112312,0.013884297520661164
117,Validation,2,7.025619907233551,0.012824427480916037
118,Validation,2,7.018606111512962,0.012765957446808517
119,Validation,2,7.018079378746993,0.013245033112582787
120,Validation,2,7.013118746858206,0.013416149068322988
121,Training,3,6.983583450317383,0.08
122,Training,3,6.8607015302104335,0.020645161290322584
